code,code_name,code_short
sh.600000,浦发银行,600000
sh.600001,邯郸钢铁,600001
sh.600002,齐鲁石化,600002
sh.600003,ST东北高,600003
sh.600004,白云机场,600004
sh.600005,武钢股份,600005
sh.600006,东风股份,600006
sh.600007,中国国贸,600007
sh.600008,首创环保,600008
sh.600009,上海机场,600009
sh.600010,包钢股份,600010
sh.600011,华能国际,600011
sh.600012,皖通高速,600012
sh.600015,华夏银行,600015
sh.600016,民生银行,600016
sh.600017,日照港,600017
sh.600018,上港集团,600018
sh.600019,宝钢股份,600019
sh.600020,中原高速,600020
sh.600021,上海电力,600021
sh.600022,山东钢铁,600022
sh.600023,浙能电力,600023
sh.600025,华能水电,600025
sh.600026,中远海能,600026
sh.600027,华电国际,600027
sh.600028,中国石化,600028
sh.600029,南方航空,600029
sh.600030,中信证券,600030
sh.600031,三一重工,600031
sh.600032,浙江新能,600032
sh.600033,福建高速,600033
sh.600035,楚天高速,600035
sh.600036,招商银行,600036
sh.600037,歌华有线,600037
sh.600038,中直股份,600038
sh.600039,四川路桥,600039
sh.600048,保利发展,600048
sh.600050,中国联通,600050
sh.600051,宁波联合,600051
sh.600052,东望时代,600052
sh.600053,*ST九鼎,600053
sh.600054,黄山旅游,600054
sh.600055,万东医疗,600055
sh.600056,中国医药,600056
sh.600057,厦门象屿,600057
sh.600058,五矿发展,600058
sh.600059,古越龙山,600059
sh.600060,海信视像,600060
sh.600061,国投资本,600061
sh.600062,华润双鹤,600062
sh.600063,皖维高新,600063
sh.600064,南京高科,600064
sh.600065,*ST联谊,600065
sh.600066,宇通客车,600066
sh.600067,冠城新材,600067
sh.600068,葛洲坝,600068
sh.600069,退市银鸽,600069
sh.600070,*ST富润,600070
sh.600071,凤凰光学,600071
sh.600072,中船科技,600072
sh.600073,光明肉业,600073
sh.600074,退市保千,600074
sh.600075,新疆天业,600075
sh.600076,康欣新材,600076
sh.600077,*ST宋都,600077
sh.600078,澄星股份,600078
sh.600079,ST人福,600079
sh.600080,ST金花,600080
sh.600081,东风科技,600081
sh.600082,ST海泰,600082
sh.600083,*ST博信,600083
sh.600084,*ST尼雅,600084
sh.600085,同仁堂,600085
sh.600086,退市金钰,600086
sh.600087,退市长油,600087
sh.600088,中视传媒,600088
sh.600089,特变电工,600089
sh.600090,退市济堂,600090
sh.600091,退市明科,600091
sh.600092,S*ST精密,600092
sh.600093,退市易见,600093
sh.600094,大名城,600094
sh.600095,湘财股份,600095
sh.600096,云天化,600096
sh.600097,开创国际,600097
sh.600098,广州发展,600098
sh.600099,林海股份,600099
sh.600100,同方股份,600100
sh.600101,明星电力,600101
sh.600102,莱钢股份,600102
sh.600103,青山纸业,600103
sh.600104,上汽集团,600104
sh.600105,永鼎股份,600105
sh.600106,重庆路桥,600106
sh.600107,*ST尔雅,600107
sh.600108,亚盛集团,600108
sh.600109,国金证券,600109
sh.600110,诺德股份,600110
sh.600111,北方稀土,600111
sh.600112,*ST天成,600112
sh.600113,浙江东日,600113
sh.600114,东睦股份,600114
sh.600115,中国东航,600115
sh.600116,三峡水利,600116
sh.600117,西宁特钢,600117
sh.600118,中国卫星,600118
sh.600119,*ST长投,600119
sh.600120,浙江东方,600120
sh.600121,郑州煤电,600121
sh.600122,*ST宏图,600122
sh.600123,兰花科创,600123
sh.600125,铁龙物流,600125
sh.600126,杭钢股份,600126
sh.600127,金健米业,600127
sh.600128,苏豪弘业,600128
sh.600129,太极集团,600129
sh.600130,波导股份,600130
sh.600131,国网信通,600131
sh.600132,重庆啤酒,600132
sh.600133,东湖高新,600133
sh.600135,乐凯胶片,600135
sh.600136,ST明诚,600136
sh.600137,浪莎股份,600137
sh.600138,中青旅,600138
sh.600139,*ST西源,600139
sh.600141,兴发集团,600141
sh.600143,金发科技,600143
sh.600145,退市新亿,600145
sh.600146,退市环球,600146
sh.600148,长春一东,600148
sh.600149,廊坊发展,600149
sh.600150,中国船舶,600150
sh.600151,航天机电,600151
sh.600152,维科技术,600152
sh.600153,建发股份,600153
sh.600155,华创云信,600155
sh.600156,华升股份,600156
sh.600157,永泰能源,600157
sh.600158,中体产业,600158
sh.600159,大龙地产,600159
sh.600160,巨化股份,600160
sh.600161,天坛生物,600161
sh.600162,香江控股,600162
sh.600163,中闽能源,600163
sh.600165,ST宁科,600165
sh.600166,福田汽车,600166
sh.600167,联美控股,600167
sh.600168,武汉控股,600168
sh.600169,ST太重,600169
sh.600170,上海建工,600170
sh.600171,上海贝岭,600171
